file_index,text,Arg1_RawText,Arg1_CharacterSpanList,Arg2_RawText,Arg2_CharacterSpanList,Connective_RawText,Connective_CharacterSpanList,Sense,Type
0,"Uh... the time I was with my mother, my father in the village, after I got older (I was about eight years old), my grandmother came and visited us.","the time I was with my mother , my father in the village ) , my grandmother came and visited us","[[6, 61], [109, 146]]",I got older ( I was about eight years old,"[[69, 109]]",after,"[[63, 68]]",Temporal.Asynchronous,Explicit
1,He wanted to take me to train me.,nan,nan,nan,nan,nan,nan,nan,nan
10,"I was there, I was helping him.",nan,nan,nan,nan,nan,nan,nan,nan
100,"Before I went to look for money, my uncle gave me some money.",my uncle gave me some money,"[[33, 60]]",I went to look for money,"[[7, 31]]",Before,"[[0, 6]]",Temporal.Asynchronous,Explicit
1000,My husband was just pity me.,nan,nan,nan,nan,nan,nan,nan,nan
1001,He's the one who helps me do some things.,nan,nan,nan,nan,nan,nan,nan,nan
1002,"Our mothers, they are doing their best.",nan,nan,nan,nan,nan,nan,nan,nan
1003,They are doing a lot.,nan,nan,nan,nan,nan,nan,nan,nan
1004,"But as soon as I gave birth, straight away I gave birth, look at how I felt.","straight away I gave birth , look at how I felt","[[29, 75]]","as soon as I gave birth ,","[[4, 28]]",But,"[[0, 3]]",Comparison.Contrast,Explicit
1004,"But as soon as I gave birth, straight away I gave birth, look at how I felt.","But straight away I gave birth , look at how I felt","[[0, 3], [29, 75]]","I gave birth ,","[[15, 28]]",as soon as,"[[4, 14]]",Temporal.Asynchronous,Explicit
1005,Every f-... uh... it's like I'm not pregnant.,nan,nan,nan,nan,nan,nan,nan,nan
1006,Everything was a'ah.,nan,nan,nan,nan,nan,nan,nan,nan
1007,"All the headaches, everything, everything, every sickness just stopped.",nan,nan,nan,nan,nan,nan,nan,nan
1008,"I said, ""eh, that's how it is?""",nan,nan,nan,nan,nan,nan,nan,nan
1009,So we gave birth to the child and drama started.,,[],we gave birth to the child and drama started,"[[3, 47]]",So,"[[0, 2]]",Contingency.Cause,Explicit
1009,So we gave birth to the child and drama started.,So we gave birth to the child,"[[0, 29]]",drama started,"[[34, 47]]",and,"[[30, 33]]",Expansion.Conjunction,Explicit
101,I will get baptized in secondary school and in senior secondary school.,nan,nan,nan,nan,nan,nan,nan,nan
1010,"Yes, okay, you gave birth to a baby.",nan,nan,nan,nan,nan,nan,nan,nan
1011,"Mama, as I f-... gave birth to her, for f-... two days, I didn't see the baby.","Mama , for f -... two days , I didn't see the baby","[[0, 5], [36, 77]]",I f -... gave birth to her,"[[9, 34]]",as,"[[6, 8]]",Temporal.Synchrony,Explicit
1012,Because it's pre-time.,,[],it 's pre-time,"[[8, 21]]",Because,"[[0, 7]]",Contingency.Cause,Explicit
1013,The baby was not even close to the time I gave birth to her.,nan,nan,nan,nan,nan,nan,nan,nan
1014,So they kept it up for like a week.,,[],they kept it up for like a week,"[[3, 34]]",So,"[[0, 2]]",Contingency.Cause,Explicit
1015,"As I saw the baby, look at the little thing.",look at the little thing,"[[19, 43]]",I saw the baby,"[[3, 17]]",As,"[[0, 2]]",Temporal.Synchrony,Explicit
1016,Then he started giving breastfeed.,,[],he started giving breastfeed,"[[5, 33]]",Then,"[[0, 4]]",Temporal.Asynchronous,Explicit
1017,"Ah!
Get up at night, and another work.",nan,nan,nan,nan,nan,nan,nan,nan
1018,Another big work!,nan,nan,nan,nan,nan,nan,nan,nan
1019,I was just awake at night.,nan,nan,nan,nan,nan,nan,nan,nan
102,"That's where I was going to school, going to school till last year, two thousand and sixteen things are involved in the WAEC.",nan,nan,nan,nan,nan,nan,nan,nan
1020,"Sometimes, my mother was there at that time, she would help me carry a few pounds.",nan,nan,nan,nan,nan,nan,nan,nan
1021,"My husband will also take a little sotay, sotay...",,[],"My husband will take a little sotay , sotay ...","[[0, 15], [21, 50]]",also,"[[16, 20]]",Expansion.Conjunction,Explicit
