file_index,text,Arg1_RawText,Arg1_CharacterSpanList,Arg2_RawText,Arg2_CharacterSpanList,Connective_RawText,Connective_CharacterSpanList,Sense,Type
0,"Uh... one time I was with my mom and dad in the village, after I was grown (I was like eight), and my grandmother came to visit us.",one time I was with my mom and dad in the village eight ) and my grandmother came,"[[6, 55], [87, 93], [95, 118]]",I was grown ( I was like to visit us,"[[63, 86], [119, 130]]",after,"[[57, 62]]",Temporal.Asynchronous,Explicit
0,"Uh... one time I was with my mom and dad in the village, after I was grown (I was like eight), and my grandmother came to visit us.","one time I was with my mom and dad in the village , after I was grown ( I was like eight )","[[6, 93]]",my grandmother came to visit us,"[[99, 130]]",and,"[[95, 98]]",Expansion.Conjunction,Explicit
1,She wanted to take me to go and train me.,nan,nan,nan,nan,nan,nan,nan,nan
10,"I was there, helping her.",nan,nan,nan,nan,nan,nan,nan,nan
100,"Before I could get the money, my uncle gave me some.",my uncle gave me some,"[[30, 51]]",I could get the money,"[[7, 28]]",Before,"[[0, 6]]",Temporal.Asynchronous,Explicit
1000,My husband felt really bad for me.,nan,nan,nan,nan,nan,nan,nan,nan
1001,He was the one helping me out with some things.,nan,nan,nan,nan,nan,nan,nan,nan
1002,"Man, all our mothers work really hard.",nan,nan,nan,nan,nan,nan,nan,nan
1003,They are really working hard.,nan,nan,nan,nan,nan,nan,nan,nan
1004,"But ever since I gave birth... immediately after I gave birth, look at me feeling so great.",ever look at me feeling so great,"[[4, 8], [63, 90]]","since I gave birth ... immediately after I gave birth ,","[[9, 62]]",But,"[[0, 3]]",Comparison.Contrast,Explicit
1004,"But ever since I gave birth... immediately after I gave birth, look at me feeling so great.",But ever look at me feeling so great,"[[0, 8], [63, 90]]","I gave birth ... immediately after I gave birth ,","[[15, 62]]",since,"[[9, 14]]",Temporal.Asynchronous,Explicit
1004,"But ever since I gave birth... immediately after I gave birth, look at me feeling so great.","But ever since I gave birth ... immediately , look at me feeling so great","[[0, 42], [61, 90]]",I gave birth,"[[49, 61]]",after,"[[43, 48]]",Temporal.Asynchronous,Explicit
1005,"Everything's f-... uh, it's like I was never pregnant.",nan,nan,nan,nan,nan,nan,nan,nan
1006,Everything's great now.,nan,nan,nan,nan,nan,nan,nan,nan
1007,"All the headache, everything, everything, all the sickness just stopped, okay?",nan,nan,nan,nan,nan,nan,nan,nan
1008,"I said, ""uh, is this how it is?""",nan,nan,nan,nan,nan,nan,nan,nan
1009,"So now that we had the kid, the drama started.",the drama started,"[[28, 45]]","now that we had the kid ,","[[3, 27]]",So,"[[0, 2]]",Contingency.Cause,Explicit
1009,"So now that we had the kid, the drama started.",the drama started,"[[28, 45]]","So we had the kid ,","[[0, 2], [12, 27]]",now that,"[[3, 11]]",Contingency.Cause,Explicit
101,I went to register for senior high.,nan,nan,nan,nan,nan,nan,nan,nan
1010,"Yes now, okay you had a kid.",nan,nan,nan,nan,nan,nan,nan,nan
1011,"The baby, as I f-... gave birth to her, for f- two days, I did not see the baby.","The baby for f - two days , I did not see the baby","[[0, 8], [40, 79]]",I f -... gave birth to her,"[[13, 38]]",as,"[[10, 12]]",Temporal.Synchrony,Explicit
1012,Because it came early.,,[],it came early,"[[8, 21]]",Because,"[[0, 7]]",Contingency.Cause,Explicit
1013,The baby came earlier than expected.,nan,nan,nan,nan,nan,nan,nan,nan
1014,So they kept her for... almost a week.,,[],they kept her for ... almost a week,"[[3, 37]]",So,"[[0, 2]]",Contingency.Cause,Explicit
1015,"When I finally saw the baby, see, the tiny thing looked small.","see , the tiny thing looked small","[[29, 61]]",I finally saw the baby,"[[5, 27]]",When,"[[0, 4]]",Temporal.Synchrony,Explicit
1016,Then I started breastfeeding.,,[],I started breastfeeding,"[[5, 28]]",Then,"[[0, 4]]",Temporal.Asynchronous,Explicit
1017,"Ah, waking up in the night is another job.",nan,nan,nan,nan,nan,nan,nan,nan
1018,Another big job indeed.,nan,nan,nan,nan,nan,nan,nan,nan
1019,"I was just waking at night, man.",nan,nan,nan,nan,nan,nan,nan,nan
102,"From there I went to school until the last year, two thousand and sixteen, when I wanted to write the WAEC.",nan,nan,nan,nan,nan,nan,nan,nan
1020,"Sometimes... my mother was alive at the time, she would help me carry her a little.",nan,nan,nan,nan,nan,nan,nan,nan
1021,"My husband would also carry her a while, until, until...",,[],"My husband would carry her a while , until , until ...","[[0, 16], [22, 56]]",also,"[[17, 21]]",Expansion.Conjunction,Explicit
1022,Because I was only feeding her with breastmilk.,,[],I was only feeding her with breastmilk,"[[8, 46]]",Because,"[[0, 7]]",Contingency.Cause,Explicit
1023,I didn't give her any...,nan,nan,nan,nan,nan,nan,nan,nan
1024,I didn't give her any baby formula.,nan,nan,nan,nan,nan,nan,nan,nan
1025,"So little by little, by the third month, she was waking up less at night.",nan,nan,nan,nan,nan,nan,nan,nan
1026,I was still...,nan,nan,nan,nan,nan,nan,nan,nan
1027,"I was still just giving her food, breastmilk.",nan,nan,nan,nan,nan,nan,nan,nan
1028,I wasn't giving her any formula.,nan,nan,nan,nan,nan,nan,nan,nan
1029,"When she was six months old, ehen.",ehen,"[[29, 33]]",she was six months old,"[[5, 27]]",When,"[[0, 4]]",Temporal.Synchrony,Explicit
103,"Even sometimes, to pay tuition, I would, I wouldn't have the money to pay on time.",nan,nan,nan,nan,nan,nan,nan,nan
1030,"When we got to the sixth month, she stopped taking breastmilk.",she stopped taking breastmilk,"[[32, 61]]",we got to the sixth month,"[[5, 30]]",When,"[[0, 4]]",Temporal.Asynchronous,Explicit
1031,"One day, I tested her by giving her baby food.",nan,nan,nan,nan,nan,nan,nan,nan
1032,She took it.,nan,nan,nan,nan,nan,nan,nan,nan
1033,I said ah.,nan,nan,nan,nan,nan,nan,nan,nan
1034,Okay!,nan,nan,nan,nan,nan,nan,nan,nan
1035,"So after some time, she started taking breastmilk again.",,[],"after some time , she started taking breastmilk again","[[3, 55]]",So,"[[0, 2]]",Contingency.Cause,Explicit
1036,"So she was eating, sleeping and everything.",,[],"she was eating , sleeping and everything","[[3, 42]]",So,"[[0, 2]]",Contingency.Cause,Explicit
1037,"That was how we went on, going bit by bit.",nan,nan,nan,nan,nan,nan,nan,nan
1038,"But even up until now, she still wakes up in the middle of the night, she still wakes up.",she still wakes up,"[[70, 88]]","even up until now , she still wakes up in the middle of the night ,","[[4, 69]]",But,"[[0, 3]]",Comparison.Contrast,Explicit
1039,But her hair has grown.,,[],her hair has grown,"[[4, 22]]",But,"[[0, 3]]",Comparison.Contrast,Explicit
104,So they would send me home.,,[],they would send me home,"[[3, 26]]",So,"[[0, 2]]",Contingency.Cause,Explicit
1040,She's a girl.,nan,nan,nan,nan,nan,nan,nan,nan
1041,"So I have started plaiting her hair little by little, little by little, and I'm buying clothes.",,[],"I have started plaiting her hair little by little , little by little , and I 'm buying clothes","[[3, 94]]",So,"[[0, 2]]",Contingency.Cause,Explicit
1041,"So I have started plaiting her hair little by little, little by little, and I'm buying clothes.","So I have started plaiting her hair little by little , little by little","[[0, 70]]",I 'm buying clothes,"[[76, 94]]",and,"[[72, 75]]",Expansion.Conjunction,Explicit
1042,We take pictures.,nan,nan,nan,nan,nan,nan,nan,nan
1043,"The girl, she likes to play with phones.",nan,nan,nan,nan,nan,nan,nan,nan
1044,"Phones, laptops, television, all those things attract her.",nan,nan,nan,nan,nan,nan,nan,nan
1045,I don't know if she wants to do... if she wants to go into the entertainment industry or something.,if she wants to do,"[[13, 31]]",she wants to go into the entertainment industry or something,"[[38, 98]]",if,"[[35, 37]]",Contingency.Condition,Explicit
1046,I don't know.,nan,nan,nan,nan,nan,nan,nan,nan
1047,"We never know, but...",We never know,"[[0, 13]]",...,"[[18, 21]]",but,"[[15, 18]]",Comparison.Contrast,Explicit
1048,"Well, she has not started talking, but we play, we laugh.","Well , she has not started talking","[[0, 33]]","we play , we laugh","[[39, 56]]",but,"[[35, 38]]",Comparison.Contrast,Explicit
1049,We are just...,nan,nan,nan,nan,nan,nan,nan,nan
105,I didn't go to school for like a week.,nan,nan,nan,nan,nan,nan,nan,nan
1050,We are just fine.,nan,nan,nan,nan,nan,nan,nan,nan
1051,"We are just fine, enjoying.",nan,nan,nan,nan,nan,nan,nan,nan
1052,"After my mom stayed with me for one month, she left.",she left,"[[43, 51]]",my mom stayed with me for one month,"[[6, 41]]",After,"[[0, 5]]",Temporal.Asynchronous,Explicit
1053,"Me and my husband started doing it little by little, little by little, together.",nan,nan,nan,nan,nan,nan,nan,nan
1054,"In fact, I've started working now.",,[],I 've started working now,"[[9, 33]]",In fact,"[[0, 7]]",Expansion.Conjunction,Explicit
1055,So I have started taking her to daycare.,,[],I have started taking her to daycare,"[[3, 39]]",So,"[[0, 2]]",Contingency.Cause,Explicit
1056,"So at least, sometimes, me too...
I'll say I am going on, on break.",nan,nan,nan,nan,nan,nan,nan,nan
1057,"When she goes to daycare, I'll be able to work.",I 'll be able to work,"[[26, 46]]",she goes to daycare,"[[5, 24]]",When,"[[0, 4]]",Temporal.Synchrony,Explicit
1058,I come back to the house in the afternoon.,nan,nan,nan,nan,nan,nan,nan,nan
1059,"In the evening, we continue as usual.",nan,nan,nan,nan,nan,nan,nan,nan
106,I said let me go and get a manual job.,nan,nan,nan,nan,nan,nan,nan,nan
1060,"Me, I work for the local government.",nan,nan,nan,nan,nan,nan,nan,nan
1061,I'm a civil servant.,nan,nan,nan,nan,nan,nan,nan,nan
1062,"Uh... so there in the local government, if I...",Uh ... so there in the local government,"[[0, 38]]",I ...,"[[43, 47]]",if,"[[40, 42]]",Contingency.Condition,Explicit
1063,"But the good thing is that since I gave birth, the government has a procedure.",the government has a procedure,"[[47, 77]]","the good thing is that since I gave birth ,","[[4, 46]]",But,"[[0, 3]]",Comparison.Contrast,Explicit
1063,"But the good thing is that since I gave birth, the government has a procedure.",is that the government has a procedure,"[[19, 26], [47, 77]]",I gave birth,"[[33, 45]]",since,"[[27, 32]]",Contingency.Cause,Explicit
1064,"I gave birth, I got uh...",nan,nan,nan,nan,nan,nan,nan,nan
1065,I was on maternity leave for three months.,nan,nan,nan,nan,nan,nan,nan,nan
1066,I was away for three months.,nan,nan,nan,nan,nan,nan,nan,nan
1067,"When I came back, three months... for those three months now, immediately I resumed, if others finish by four o' clock, they let me finish by two o' clock.","months ... for those three months now , immediately I resumed , if others finish by four o' clock , they let me finish by two o' clock","[[24, 154]]","I came back , three","[[5, 23]]",When,"[[0, 4]]",Temporal.Asynchronous,Explicit
1067,"When I came back, three months... for those three months now, immediately I resumed, if others finish by four o' clock, they let me finish by two o' clock.",immediately I resumed they let me finish by two o' clock,"[[62, 83], [120, 154]]",others finish by four o' clock,"[[88, 118]]",if,"[[85, 87]]",Contingency.Condition,Explicit
1068,"So I finish on time, go get my child, and head home.",,[],"I finish on time , go get my child , and head home","[[3, 51]]",So,"[[0, 2]]",Contingency.Cause,Explicit
1069,So this arrangement of two o' clock will go f-... will go on for six months.,,[],this arrangement of two o' clock will go f -... will go on for six months,"[[3, 75]]",So,"[[0, 2]]",Contingency.Cause,Explicit
107,Maybe I would get something to pay my tuition so my uncle could help me with the rest.,Maybe I would get something to pay my tuition,"[[0, 45]]",my uncle could help me with the rest,"[[49, 85]]",so,"[[46, 48]]",Contingency.Cause,Explicit
1070,"After six months, I will start working again.",nan,nan,nan,nan,nan,nan,nan,nan
1071,So that government procedure is good.,,[],government procedure is good,"[[8, 36]]",So that,"[[0, 7]]",Contingency.Cause,Explicit
